/tmp/slurmd/job1383992/slurm_script: line 9: cd: qb18517/11_DT/dynamicTextureMain/4_C3D_ConvolutionalNN_3D/: No such file or directory
cuda:0
No handlers could be found for logger "libav.swscaler"
No handlers could be found for logger "libav.swscaler"
No handlers could be found for logger "libav.swscaler"
2_C3D_Model_BC.py:93: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  return F.log_softmax(x)
2_C3D_Model_BC.py:135: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  print(epoch,i,loss.data[0])#, loss.data[0])
(0, 1, tensor(3.7613, device='cuda:0'))
(0, 2, tensor(3.9064, device='cuda:0'))
(0, 3, tensor(3.7883, device='cuda:0'))
(0, 4, tensor(3.8588, device='cuda:0'))
(0, 5, tensor(3.7915, device='cuda:0'))
(0, 6, tensor(3.8499, device='cuda:0'))
(0, 7, tensor(3.8138, device='cuda:0'))
(0, 8, tensor(3.8793, device='cuda:0'))
(0, 9, tensor(3.7352, device='cuda:0'))
(0, 10, tensor(3.7906, device='cuda:0'))
(0, 11, tensor(3.8615, device='cuda:0'))
(0, 12, tensor(3.7910, device='cuda:0'))
(0, 13, tensor(3.8193, device='cuda:0'))
(0, 14, tensor(3.8483, device='cuda:0'))
(0, 15, tensor(3.7743, device='cuda:0'))
(0, 16, tensor(3.7119, device='cuda:0'))
(0, 17, tensor(3.6859, device='cuda:0'))
No handlers could be found for logger "libav.swscaler"
(0, 18, tensor(3.6730, device='cuda:0'))
No handlers could be found for logger "libav.swscaler"
(0, 19, tensor(3.8809, device='cuda:0'))
No handlers could be found for logger "libav.swscaler"
(0, 20, tensor(3.5394, device='cuda:0'))
(0, 21, tensor(3.8501, device='cuda:0'))
(0, 22, tensor(3.9936, device='cuda:0'))
(0, 23, tensor(3.7265, device='cuda:0'))
(0, 24, tensor(3.7664, device='cuda:0'))
(0, 25, tensor(3.6977, device='cuda:0'))
No handlers could be found for logger "libav.swscaler"
(0, 26, tensor(3.7816, device='cuda:0'))
(0, 27, tensor(3.9219, device='cuda:0'))
(0, 28, tensor(3.7949, device='cuda:0'))
(0, 29, tensor(3.7755, device='cuda:0'))
(0, 30, tensor(3.8070, device='cuda:0'))
(0, 31, tensor(3.6543, device='cuda:0'))
(0, 32, tensor(3.7904, device='cuda:0'))
(0, 33, tensor(3.8158, device='cuda:0'))
(0, 34, tensor(3.7205, device='cuda:0'))
(0, 35, tensor(3.7683, device='cuda:0'))
(0, 36, tensor(3.7594, device='cuda:0'))
(0, 37, tensor(3.5907, device='cuda:0'))
(0, 38, tensor(3.6903, device='cuda:0'))
(0, 39, tensor(3.6192, device='cuda:0'))
(0, 40, tensor(3.7464, device='cuda:0'))
(0, 41, tensor(3.8577, device='cuda:0'))
(0, 42, tensor(4.0840, device='cuda:0'))
(0, 43, tensor(3.7285, device='cuda:0'))
(0, 44, tensor(3.7559, device='cuda:0'))
(0, 45, tensor(3.7120, device='cuda:0'))
(0, 46, tensor(3.7235, device='cuda:0'))
(0, 47, tensor(3.7501, device='cuda:0'))
(0, 48, tensor(3.8107, device='cuda:0'))
(0, 49, tensor(3.7166, device='cuda:0'))
No handlers could be found for logger "libav.swscaler"
(0, 50, tensor(3.7175, device='cuda:0'))
(0, 51, tensor(3.9732, device='cuda:0'))
(0, 52, tensor(3.8018, device='cuda:0'))
(0, 53, tensor(3.5836, device='cuda:0'))
(0, 54, tensor(3.7256, device='cuda:0'))
(0, 55, tensor(3.9627, device='cuda:0'))
