/tmp/slurmd/job1384476/slurm_script: line 9: cd: qb18517/11_DT/dynamicTextureMain/4_C3D_ConvolutionalNN_3D/: No such file or directory
No handlers could be found for logger "libav.swscaler"
2_C3D_Model_BC.py:93: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  return F.log_softmax(x)
2_C3D_Model_BC.py:135: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  print(epoch,i,loss.data[0])#, loss.data[0])
cuda:0
(0, 1, tensor(3.8139, device='cuda:0'))
(0, 2, tensor(3.8092, device='cuda:0'))
(0, 3, tensor(3.8020, device='cuda:0'))
(0, 4, tensor(3.8296, device='cuda:0'))
(0, 5, tensor(3.8620, device='cuda:0'))
(0, 6, tensor(3.7946, device='cuda:0'))
(0, 7, tensor(3.7710, device='cuda:0'))
(0, 8, tensor(3.7586, device='cuda:0'))
(0, 9, tensor(3.7618, device='cuda:0'))
(0, 10, tensor(3.8218, device='cuda:0'))
(0, 11, tensor(3.8735, device='cuda:0'))
(0, 12, tensor(3.8236, device='cuda:0'))
(0, 13, tensor(3.8014, device='cuda:0'))
(0, 14, tensor(3.7510, device='cuda:0'))
(0, 15, tensor(3.7496, device='cuda:0'))
(0, 16, tensor(3.8163, device='cuda:0'))
(0, 17, tensor(3.7451, device='cuda:0'))
(0, 18, tensor(3.7844, device='cuda:0'))
(0, 19, tensor(3.8508, device='cuda:0'))
(0, 20, tensor(3.7135, device='cuda:0'))
(0, 21, tensor(3.6768, device='cuda:0'))
(0, 22, tensor(3.6978, device='cuda:0'))
(0, 23, tensor(3.6534, device='cuda:0'))
(0, 24, tensor(3.8067, device='cuda:0'))
(0, 25, tensor(3.6009, device='cuda:0'))
(0, 26, tensor(3.5299, device='cuda:0'))
(0, 27, tensor(3.7608, device='cuda:0'))
(0, 28, tensor(3.6873, device='cuda:0'))
(0, 29, tensor(3.6452, device='cuda:0'))
(0, 30, tensor(3.6373, device='cuda:0'))
(0, 31, tensor(3.7345, device='cuda:0'))
(0, 32, tensor(3.6244, device='cuda:0'))
(0, 33, tensor(3.7285, device='cuda:0'))
(0, 34, tensor(3.6677, device='cuda:0'))
(0, 35, tensor(3.8886, device='cuda:0'))
(0, 36, tensor(3.6701, device='cuda:0'))
(0, 37, tensor(3.8078, device='cuda:0'))
(0, 38, tensor(3.7573, device='cuda:0'))
(0, 39, tensor(3.6640, device='cuda:0'))
(0, 40, tensor(3.7131, device='cuda:0'))
(0, 41, tensor(3.7017, device='cuda:0'))
(0, 42, tensor(3.7664, device='cuda:0'))
(0, 43, tensor(3.7723, device='cuda:0'))
(0, 44, tensor(3.7145, device='cuda:0'))
(0, 45, tensor(3.8763, device='cuda:0'))
(0, 46, tensor(3.6676, device='cuda:0'))
(0, 47, tensor(3.8635, device='cuda:0'))
(0, 48, tensor(3.7372, device='cuda:0'))
(0, 49, tensor(3.7470, device='cuda:0'))
(0, 50, tensor(3.6798, device='cuda:0'))
(0, 51, tensor(3.7224, device='cuda:0'))
(0, 52, tensor(3.8130, device='cuda:0'))
(0, 53, tensor(3.5692, device='cuda:0'))
(0, 54, tensor(3.8081, device='cuda:0'))
(0, 55, tensor(3.6870, device='cuda:0'))
(0, 56, tensor(3.5420, device='cuda:0'))
(0, 57, tensor(3.7748, device='cuda:0'))
(0, 58, tensor(3.7245, device='cuda:0'))
(0, 59, tensor(3.7572, device='cuda:0'))
(0, 60, tensor(3.6049, device='cuda:0'))
(0, 61, tensor(3.4770, device='cuda:0'))
(0, 62, tensor(3.5580, device='cuda:0'))
(0, 63, tensor(3.9238, device='cuda:0'))
(0, 64, tensor(3.9231, device='cuda:0'))
(0, 65, tensor(3.8881, device='cuda:0'))
(0, 66, tensor(3.7903, device='cuda:0'))
(0, 67, tensor(3.7654, device='cuda:0'))
(0, 68, tensor(3.7875, device='cuda:0'))
(0, 69, tensor(3.7250, device='cuda:0'))
(0, 70, tensor(3.7574, device='cuda:0'))
(0, 71, tensor(3.7809, device='cuda:0'))
