/tmp/slurmd/job1384536/slurm_script: line 9: cd: qb18517/11_DT/dynamicTextureMain/4_C3D_ConvolutionalNN_3D/: No such file or directory
cuda:0
2_C3D_Model_BC.py:93: UserWarning: Implicit dimension choice for log_softmax has been deprecated. Change the call to include dim=X as an argument.
  return F.log_softmax(x)
2_C3D_Model_BC.py:135: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  print(epoch,i,loss.data[0])#, loss.data[0])
(0, 1, tensor(3.8424, device='cuda:0'))
(0, 2, tensor(3.8459, device='cuda:0'))
(0, 3, tensor(3.8332, device='cuda:0'))
(0, 4, tensor(3.8991, device='cuda:0'))
(0, 5, tensor(3.7873, device='cuda:0'))
(0, 6, tensor(3.8814, device='cuda:0'))
(0, 7, tensor(3.7677, device='cuda:0'))
(0, 8, tensor(3.8058, device='cuda:0'))
(0, 9, tensor(3.7168, device='cuda:0'))
(0, 10, tensor(3.7636, device='cuda:0'))
(0, 11, tensor(3.8084, device='cuda:0'))
(0, 12, tensor(3.7729, device='cuda:0'))
(0, 13, tensor(3.8023, device='cuda:0'))
(0, 14, tensor(3.7843, device='cuda:0'))
(0, 15, tensor(3.7954, device='cuda:0'))
(0, 16, tensor(3.7576, device='cuda:0'))
(0, 17, tensor(3.7905, device='cuda:0'))
(0, 18, tensor(3.7931, device='cuda:0'))
(0, 19, tensor(3.7695, device='cuda:0'))
(0, 20, tensor(3.7920, device='cuda:0'))
(0, 21, tensor(3.8039, device='cuda:0'))
(0, 22, tensor(3.6716, device='cuda:0'))
(0, 23, tensor(3.8064, device='cuda:0'))
(0, 24, tensor(3.8260, device='cuda:0'))
(0, 25, tensor(3.8127, device='cuda:0'))
(0, 26, tensor(3.7823, device='cuda:0'))
(0, 27, tensor(3.7888, device='cuda:0'))
(0, 28, tensor(3.8024, device='cuda:0'))
(0, 29, tensor(3.8562, device='cuda:0'))
(0, 30, tensor(3.7151, device='cuda:0'))
(0, 31, tensor(3.8156, device='cuda:0'))
(0, 32, tensor(3.8144, device='cuda:0'))
(0, 33, tensor(3.7915, device='cuda:0'))
(0, 34, tensor(3.7220, device='cuda:0'))
